date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
8/8/2015,Gustav Mahler ,2,m,2, Symphony No. 8 in E-flat major," ""Symphony of 1000""",Ain Anger , Bass American Boychoir ,Andris Nelsons,Tanglewood Music Center Orchestra,Tanglewood - Shed,,
8/14/2015,Felix Mendelssohn ,19,m,19, Concerto for Violin in E minor, Op. 64,Christian Tetzlaff , Violin,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
8/14/2015,Johann Sebastian Bach ,10,m,10, Partita for Violin No. 3 in E major, BWV 1006: (03) Gavotte en Rondeau,Christian Tetzlaff , Violin,nan,nan,nan,,
8/14/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,nan,nan,nan,,,
8/15/2015,Samuel Barber ,44,m,44, Essay for Orchestra, No. 2, Op. 17,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,
8/15/2015,Arrigo Boito ,65,m,65, Mefistofele: Act III: L' Altra Notte (Last Night, Aria, Prison Song),Kristine Opolais , Soprano,nan,nan,nan,
8/15/2015,Giacomo Puccini ,22,m,22, Manon Lescaut, Act 3: Intermezzo,nan,nan,nan,nan,nan,,
8/15/2015,Giuseppe Verdi ,51,m,51, Otello: Act 4: Willow Song and Ave Maria,Kristine Opolais , Soprano,nan,nan,nan,,,
8/15/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
8/22/2015,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),Håkan Hardenberger , Trumpet,Andris Nelsons,Boston Symphony Orchestra,Royal Albert Hall,,,
8/22/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,nan,nan,nan,,,
8/23/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Royal Albert Hall,,,
8/23/2015,Samuel Barber ,44,m,44, Essay for Orchestra, No. 2, Op. 17,nan,nan,nan,nan,nan,
8/23/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
8/23/2015,Dmitri Shostakovich ,1,m,1, Gadfly, The: Film Score, Op. 97: Romance,nan,nan,nan,nan,nan,
8/23/2015,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,nan,nan,nan,nan,nan,,
8/24/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Grosses Festspielhaus,,,
8/25/2015,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Yo-Yo Ma ,Andris Nelsons,Boston Symphony Orchestra,Grosses Festspielhaus,,
8/25/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
